"scientific_name","full_name","AphiaID","common_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Ruppia.cirrhosa","Ruppia cirrhosa",416218,"spiral tasselweed","green","",753,FALSE,1,1,1.22779877947436,"RF, XGBOOST, GAM",753,28681,"run3_macrophytes",NA,NA,0.928116138804991,0.810666666666667,"TSS","TSS","Ruppia.cirrhosa","macrophytes","RF,XGBOOST,GAM",3
"Ruppia.maritima","Ruppia maritima",234031,"beaked tasselweed; widgeon grass","green","",3067,TRUE,1,1,1.81876656419701,"RF, XGBOOST, GAM",3067,26865,"run3_macrophytes","DE,DK,EE,FI,LT,PL,SE","SE",0.850912407484829,0.709933333333333,"TSS","TSS","Ruppia.maritima","macrophytes","RF,XGBOOST,GAM",3
"Saccharina.latissima","Saccharina latissima",234483,"sugar Kelp","green","",842,FALSE,1,1,0.803017703294754,"RF, XGBOOST, GAM",842,15822,"run3_macrophytes",NA,NA,0.96472819216182,0.877733333333333,"TSS","TSS","Saccharina.latissima","macrophytes","RF,XGBOOST,GAM",3
"Sagittaria.natans","Sagittaria natans",NA,NA,"yellow","Low number of positive cases (presences) in model training data.",143,FALSE,1,1,0.646475763585832,"RF, XGBOOST, GAM",143,7084,"run3_macrophytes",NA,NA,0.951544058598788,0.784,"TSS","TSS","Sagittaria.natans","macrophytes","RF,XGBOOST,GAM",3
"Sagittaria.sagittifolia","Sagittaria sagittifolia",NA,NA,"green","",360,FALSE,1,1,0.87634458720684,"RF, XGBOOST, GAM",360,17877,"run3_macrophytes",NA,NA,0.936719502719503,0.8036,"TSS","TSS","Sagittaria.sagittifolia","macrophytes","RF,XGBOOST,GAM",3
"Sargassum.muticum","Sargassum muticum",494791,"wireweed","green","",255,FALSE,1,1,0.728453675773409,"RF, XGBOOST, GAM",255,11262,"run3_macrophytes",NA,NA,0.952183679866263,0.7926,"TSS","TSS","Sargassum.muticum","macrophytes","RF,XGBOOST,GAM",3
"Scagelothamnion.pusillum","Scagelothamnion pusillum",144693,NA,"yellow","Swedish west coast missing in predictions.",161,FALSE,1,1,0.605388885272874,"RF, XGBOOST, GAM",161,7982,"run3_macrophytes",NA,NA,0.970488721804511,0.914933333333333,"TSS","TSS","Scagelothamnion.pusillum","macrophytes","RF,XGBOOST,GAM",3
"Schoenoplectus.lacustris","Schoenoplectus lacustris",715967,NA,"green","",357,FALSE,1,1,0.923316322763761,"RF, XGBOOST, GAM",357,17095,"run3_macrophytes",NA,NA,0.922679805066138,0.683,"TSS","TSS","Schoenoplectus.lacustris","macrophytes","RF,XGBOOST,GAM",3
"Schoenoplectus.tabernaemontani","Schoenoplectus tabernaemontani",NA,NA,"green","",919,FALSE,1,1,0.846888659463988,"RF, XGBOOST, GAM",919,15687,"run3_macrophytes",NA,NA,0.65424422391928,0.452333333333333,"TSS","TSS","Schoenoplectus.tabernaemo","macrophytes","XGBOOST,GAM",2
"Scytosiphon.lomentaria","Scytosiphon lomentaria",145869,"beanweed","yellow","Low number of positive cases (presences) in model training data.",122,FALSE,1,1,0.66800991528564,"RF, XGBOOST, GAM",122,6040,"run3_macrophytes",NA,NA,0.933278145695364,0.7456,"TSS","TSS","Scytosiphon.lomentaria","macrophytes","RF,XGBOOST,GAM",3
