"scientific_name","full_name","AphiaID","common_name","flag","comment","quantity","use_method_cov","run_initiated","run_completed","run_time","models","num_presence","num_absence","run_name","observation_methods","method_predict_to","mean_TSS_ensemble","mean_TSS_all_submodels","metric_select_and_weight","metric_binary","short_name","output_repo","kept_algos","n_kept_algos"
"Pontoporeia.femorata","Pontoporeia femorata",103079,NA,"green","",1199,FALSE,1,1,1.12746320360237,"RF, XGBOOST, GAM",1199,18863,"run3_invertebrates",NA,NA,0.867633845746091,0.809,"TSS","TSS","Pontoporeia.femorata","invertebrates","RF,XGBOOST,GAM",3
"Potamopyrgus.antipodarum","Potamopyrgus antipodarum",147123,"Jenkins' spire shell; Jenkins' spire snail; Jenkins' spiresnail; Jenkins's spire snail; New Zealand mud snail; New Zealand mudsnail; New Zealand spiresnail; New-Zealand mudsnail","red","",1086,FALSE,1,1,1.08335813608434,"RF, XGBOOST, GAM",1086,24610,"run3_invertebrates",NA,NA,0.910812172190316,0.8618,"TSS","TSS","Potamopyrgus.antipodarum","invertebrates","RF,XGBOOST,GAM",3
"Praxillella.affinis","Praxillella affinis",130322,NA,"green","",271,FALSE,1,1,0.882606418066555,"RF, XGBOOST, GAM",271,14781,"run3_invertebrates",NA,NA,0.939344960657545,0.7662,"TSS","TSS","Praxillella.affinis","invertebrates","RF,XGBOOST,GAM",3
"Praxillella.praetermissa","Praxillella praetermissa",130326,NA,"green","",422,FALSE,1,1,0.948888674444622,"RF, XGBOOST, GAM",422,23085,"run3_invertebrates",NA,NA,0.872508431572759,0.745733333333333,"TSS","TSS","Praxillella.praetermissa","invertebrates","RF,XGBOOST,GAM",3
"Priapulus.caudatus","Priapulus caudatus",101160,"cactus worm; Priapulid worm; tailed priapulid worm","green","",345,FALSE,1,1,1.14777959638172,"RF, XGBOOST, GAM",345,25334,"run3_invertebrates",NA,NA,0.802117709647249,0.582733333333333,"TSS","TSS","Priapulus.caudatus","invertebrates","RF,XGBOOST,GAM",3
"Prionospio.fallax","Prionospio fallax",131157,NA,"green","",2118,FALSE,1,1,1.24157628973325,"RF, XGBOOST, GAM",2118,24803,"run3_invertebrates",NA,NA,0.762727291743524,0.670066666666667,"TSS","TSS","Prionospio.fallax","invertebrates","RF,XGBOOST,GAM",3
"Prionospio.multibranchiat","Prionospio multibranchiat",131160,NA,"green","",211,FALSE,1,1,0.777054079704814,"RF, XGBOOST, GAM",211,9145,"run3_invertebrates",NA,NA,0.940870629279596,0.7556,"TSS","TSS","Prionospio.multibranchiat","invertebrates","RF,XGBOOST,GAM",3
"Prionospio.steenstrupi","Prionospio steenstrupi",131164,NA,"red","Low number of positive cases (presences) in model training data.",46,FALSE,1,1,0.773006830215454,"RF, XGBOOST, GAM",46,10610,"run3_invertebrates",NA,NA,0.831814849722484,0.489333333333333,"TSS","TSS","Prionospio.steenstrupi","invertebrates","RF,GAM,XGBOOST",3
"Protomedeia.fasciata","Protomedeia fasciata",102443,NA,"green","",212,FALSE,1,1,0.844444131917424,"RF, XGBOOST, GAM",212,17443,"run3_invertebrates",NA,NA,0.903725995987389,0.7066,"TSS","TSS","Protomedeia.fasciata","invertebrates","RF,XGBOOST,GAM",3
"Psammechinus.miliaris","Psammechinus miliaris",124319,"green sea urchin","yellow","Low number of positive cases (presences) in model training data.",127,FALSE,1,1,0.892619440290663,"RF, XGBOOST, GAM",127,16729,"run3_invertebrates",NA,NA,0.911892408846384,0.597466666666667,"TSS","TSS","Psammechinus.miliaris","invertebrates","RF,XGBOOST,GAM",3
"Pusillina.inconspicua","Pusillina inconspicua",141334,"spotted risso","yellow","Low number of positive cases (presences) in model training data.",31,FALSE,1,1,0.700326409737269,"RF, XGBOOST, GAM",31,3545,"run3_invertebrates",NA,NA,0.986741889985896,0.420333333333333,"TSS","TSS","Pusillina.inconspicua","invertebrates","RF,XGBOOST,GAM",3
"Pusillina.sarsii","Pusillina sarsii",141341,NA,"red","",592,FALSE,1,1,1.09147689633899,"RF, XGBOOST, GAM",592,22188,"run3_invertebrates",NA,NA,0.872295506450455,0.724733333333333,"TSS","TSS","Pusillina.sarsii","invertebrates","RF,XGBOOST,GAM",3
"Pygospio.elegans","Pygospio elegans",131170,"pygospio worm","green","",5830,FALSE,1,1,1.63930170615514,"RF, XGBOOST, GAM",5830,23008,"run3_invertebrates",NA,NA,0.724217228246649,0.6448,"TSS","TSS","Pygospio.elegans","invertebrates","RF,XGBOOST,GAM",3
"Rangia.cuneata","Rangia cuneata",156991,"Atlantic rangia; common rangia; wedge clam","yellow","Low number of positive cases (presences) in model training data.",41,FALSE,1,1,0.674645743568738,"RF, XGBOOST, GAM",41,644,"run3_invertebrates",NA,NA,0.920930232558139,0.643866666666667,"TSS","TSS","Rangia.cuneata","invertebrates","RF,XGBOOST,GAM",3
"Retusa.obtusa","Retusa obtusa",141134,"Arctic barrel-bubble; pearl bubble","red","",547,FALSE,1,1,1.1126038383113,"RF, XGBOOST, GAM",547,23104,"run3_invertebrates",NA,NA,0.768190292025436,0.573533333333333,"TSS","TSS","Retusa.obtusa","invertebrates","RF,XGBOOST,GAM",3
"Rhithropanopeus.harrisii","Rhithropanopeus harrisii",107414,"dwarf crab; dwarf xanthid crab; estuarine mud crab; Harris mud crab; mud crab; white-fingered mud crab; white-tipped mud crab; Zuiderzee crab","red","Low number of positive cases (presences) in model training data.",67,FALSE,1,1,0.727274981074863,"RF, XGBOOST, GAM",67,3770,"run3_invertebrates",NA,NA,0.93395225464191,0.639533333333333,"TSS","TSS","Rhithropanopeus.harrisii","invertebrates","RF,GAM,XGBOOST",3
"Rhodine.gracilior","Rhodine gracilior",130330,NA,"green","",1048,FALSE,1,1,1.04031379613611,"RF, XGBOOST, GAM",1048,25438,"run3_invertebrates",NA,NA,0.926839622641509,0.854,"TSS","TSS","Rhodine.gracilior","invertebrates","RF,XGBOOST,GAM",3
"Rhodine.loveni","Rhodine loveni",130331,NA,"green","",165,FALSE,1,1,0.804481568336487,"RF, XGBOOST, GAM",165,11820,"run3_invertebrates",NA,NA,0.932641132133518,0.672266666666667,"TSS","TSS","Rhodine.loveni","invertebrates","RF,XGBOOST,GAM",3
"Rissoa.membranacea","Rissoa membranacea",141359,"thick-lipped risso snail; thicklipped spire shell","red","",225,FALSE,1,1,0.832225491139624,"RF, XGBOOST, GAM",225,11435,"run3_invertebrates",NA,NA,0.903172521012486,0.671266666666667,"TSS","TSS","Rissoa.membranacea","invertebrates","RF,XGBOOST,GAM",3
"Saduria.entomon","Saduria entomon",119034,NA,"green","",2477,FALSE,1,1,1.11720965471533,"RF, XGBOOST, GAM",2477,5133,"run3_invertebrates",NA,NA,0.737474452411161,0.617266666666667,"TSS","TSS","Saduria.entomon","invertebrates","RF,XGBOOST,GAM",3
"Scalibregma.inflatum","Scalibregma inflatum",130980,NA,"green","",1763,FALSE,1,1,1.25420625779364,"RF, XGBOOST, GAM",1763,25400,"run3_invertebrates",NA,NA,0.688910352211639,0.582733333333333,"TSS","TSS","Scalibregma.inflatum","invertebrates","RF,XGBOOST,GAM",3
"Scolelepis.foliosa","Scolelepis foliosa",334741,NA,"red","Low number of positive cases (presences) in model training data.",110,FALSE,1,1,0.849661769734489,"RF, XGBOOST, GAM",110,14985,"run3_invertebrates",NA,NA,0.945915612582279,0.4992,"TSS","TSS","Scolelepis.foliosa","invertebrates","GAM,RF,XGBOOST",3
